FAR_CODE_CD,ACTION_CD,FUNCTION_CD,ACTION_REASON_CD,FAR_CODE_ID,FAR_CODE_DESCRIPTION_TXT
ENFAAADIN,A,ENF,AADIN,7,
ENFAANOAD,A,ENF,ANOAD,8,
ENFPEILMV,P,ENF,EILMV,9,
ENFPEILRE,P,ENF,EILRE,10,
ENFPEIWAR,P,ENF,EIWAR,11,
ENFPESREG,P,ENF,ESREG,12,
ENFPESTXR,P,ENF,ESTXR,13,
ENFPEUTXR,P,ENF,EUTXR,14,
ENFPGSCOE,P,ENF,GSCOE,15,
ENFPSICPS,P,ENF,SICPS,16,
ENFRERARR,R,ENF,ERARR,17,
ENFRERMEO,R,ENF,ERMEO,18,
ENFRERREG,R,ENF,ERREG,19,
ENFRERREO,R,ENF,ERREO,20,
ENFRERRES,R,ENF,ERRES,21,
ENFRERTXR,R,ENF,ERTXR,22,
ENFRERALL,R,ENF,ERALL,23,
ENFRERMEE,R,ENF,ERMEE,24,
ENFRERMEM,R,ENF,ERMEM,25,
ENFMGRPOU,M,ENF,GRPOU,26,
ENFPEILPP,P,ENF,EILPP,27,
ENFPESORD,P,ENF,ESORD,28,
ENFPESWAG,P,ENF,ESWAG,29,
ENFPGIHER,P,ENF,GIHER,30,
ENFPGSARR,P,ENF,GSARR,31,
ENFPGSFIL,P,ENF,GSFIL,32,
ENFREREXO,R,ENF,EREXO,33,
ENFUEREXO,U,ENF,EREXO,34,
ENFRERFSM,R,ENF,ERFSM,35,
ENFUERFSM,U,ENF,ERFSM,36,
ENFRERFSO,R,ENF,ERFSO,37,
ENFUERFSO,U,ENF,ERFSO,38,
ENFRERFSS,R,ENF,ERFSS,39,
ENFUERFSS,U,ENF,ERFSS,40,
ENFRERSTA,R,ENF,ERSTA,41,
ENFUERSTA,U,ENF,ERSTA,42,
ENFRERWAG,R,ENF,ERWAG,43,
ENFUERWAG,U,ENF,ERWAG,44,
ENFUERALL,U,ENF,ERALL,45,
ENFUERARR,U,ENF,ERARR,46,
ENFUERMEE,U,ENF,ERMEE,47,
ENFUERMEM,U,ENF,ERMEM,48,
ENFUERMEO,U,ENF,ERMEO,49,
ENFUERREG,U,ENF,ERREG,50,
ENFUERREO,U,ENF,ERREO,51,
ENFUERRES,U,ENF,ERRES,52,
ENFUERTXR,U,ENF,ERTXR,53,
