FAR Code,CASE DATA BLOCK,NCP IDENTIFICATION DATA BLOCK,NCP LOCATE DATA BLOCK,PARTICIPANT DATA BLOCK,ORDER DATA BLOCK,COLLECTION DATA BLOCK,INFORMATION DATA BLOCK
EST A AADIN,1,1,,1,,,1
EST A ANOAD,1,1,,1,,,
EST P GSCOE,1,1,,,1,,
EST P SICHS,1,1,,,,,1
EST P SSADJ,1,1,,,,,
EST P SSMOD,,,,,,,
EST P SUADJ,1,1,,,,,
EST P SUEST,1,1,,,,,1
EST P SUMOD,1,1,,,1,,1
EST R SRADJ,1,1,1,,1,,
EST R SRMOD,1,1,1,,1,,
EST R SROMC,1,1,1,,,,
EST R SROPP,1,1,1,,,,
EST R SRORD,1,1,1,,,,
EST R SRPAT,1,1,1,,,,1
EST M GRPOU,,,,,,,
EST P GSARR,,,,,,,
EST P GSFIL,,,,,,,
EST P SCDIS,,,,,,,
EST P SDCOS,,,,,,,
EST P SDPAR,,,,,,,
EST P SDPAY,,,,,,,
EST P SIANS,,,,,,,
EST P SICPS,,,,,,,
EST P SSCON,,,,,,,
EST P SUDEN,,,,,,,
EST R SROOC,,,,,,,
EST R SROSS,,,,,,,
EST U SRADJ,,,,,,,
EST U SRMOD,,,,,,,
EST U SROMC,,,,,,,
EST U SROOC,,,,,,,
EST U SROPP,,,,,,,
EST U SRORD,,,,,,,
EST U SROSS,,,,,,,
