FAR_CODE_CD,ACTION_CD,FUNCTION_CD,ACTION_REASON_CD,FAR_CODE_ID,FAR_CODE_DESCRIPTION_TXT
ESTAAADIN,A,EST,AADIN,54,
ESTAANOAD,A,EST,ANOAD,55,
ESTPGSCOE,P,EST,GSCOE,56,
ESTPSICHS,P,EST,SICHS,57,
ESTPSSADJ,P,EST,SSADJ,58,
ESTPSSMOD,P,EST,SSMOD,59,
ESTPSUADJ,P,EST,SUADJ,60,
ESTPSUEST,P,EST,SUEST,61,
ESTPSUMOD,P,EST,SUMOD,62,
ESTRSRADJ,R,EST,SRADJ,63,
ESTRSRMOD,R,EST,SRMOD,64,
ESTRSROMC,R,EST,SROMC,65,
ESTRSROPP,R,EST,SROPP,66,
ESTRSRORD,R,EST,SRORD,67,
ESTRSRPAT,R,EST,SRPAT,68,
ESTMGRPOU,M,EST,GRPOU,69,
ESTPGSARR,P,EST,GSARR,70,
ESTPGSFIL,P,EST,GSFIL,71,
ESTPSCDIS,P,EST,SCDIS,72,
ESTPSDCOS,P,EST,SDCOS,73,
ESTPSDPAR,P,EST,SDPAR,74,
ESTPSDPAY,P,EST,SDPAY,75,
ESTPSIANS,P,EST,SIANS,76,
ESTPSICPS,P,EST,SICPS,77,
ESTPSSCON,P,EST,SSCON,78,
ESTPSUDEN,P,EST,SUDEN,79,
ESTRSROOC,R,EST,SROOC,80,
ESTRSROSS,R,EST,SROSS,81,
ESTUSRADJ,U,EST,SRADJ,82,
ESTUSRMOD,U,EST,SRMOD,83,
ESTUSROMC,U,EST,SROMC,84,
ESTUSROOC,U,EST,SROOC,85,
ESTUSROPP,U,EST,SROPP,86,
ESTUSRORD,U,EST,SRORD,87,
ESTUSROSS,U,EST,SROSS,88,
