FAR Code,CASE DATA BLOCK,NCP IDENTIFICATION DATA BLOCK,NCP LOCATE DATA BLOCK,PARTICIPANT DATA BLOCK,ORDER DATA BLOCK,COLLECTION DATA BLOCK,INFORMATION DATA BLOCK
MSC P GIHER,1,1,,1,,,
MSC P GSADD,1,1,,1,,,
MSC P GSC02,1,1,,1,,,
MSC P GSC03,1,1,,1,,,
MSC P GSC05,1,1,,1,,,
MSC P GSC5B,1,1,,1,,,
MSC P GSC06,1,1,,1,,,
MSC P GSC07,1,1,,1,,,
MSC P GSC08,1,1,,1,,,
MSC P GSC09,1,1,,1,,,
MSC P GSC10,1,1,,1,,,
MSC P GSC11,1,1,,1,,,
MSC P GSC12,1,1,,1,,,
MSC P GSC4A,1,1,,1,,,
MSC P GSC4B,1,1,,1,,,
MSC P GSC4C,1,1,,1,,,
MSC P GSC13,1,1,,1,,,
MSC P GSC14,1,1,,1,,,
MSC P GSC15,1,1,,1,,,
MSC P GSC16,1,1,,1,,,
MSC P GSC17,1,1,,1,,,
MSC P GSC18,1,1,,1,,,
MSC P GSCAS,1,1,,1,,,1
MSC P GSDEL,1,1,,1,,,
MSC P GSFIP,1,1,,1,,,
MSC P GSFWD,1,1,1,1,1,,1
MSC P GSMAD,1,1,1,1,,,
MSC P GSMDE,1,1,1,1,,,
MSC P GSPAD,1,1,,1,,,
MSC P GSPAY,1,1,,1,,,
MSC P GSPUD,1,1,,1,,,1
MSC P GSTAI,1,1,,1,1,,1
MSC P GSTYP,1,1,,1,,,
MSC P GSWKR,1,1,,1,,,
MSC P LICAD,1,1,1,1,,,
MSC P LSADR,1,1,1,1,,,
MSC P LSEMP,1,1,1,1,,,
MSC P LSOUT,1,1,1,1,,,
MSC P LUAPD,1,1,,1,,,1
MSC P REJCT,,,,,,,1
MSC R GRINT,1,1,,,1,,
MSC R GRPAY,1,1,1,,1,,1
MSC R GRPOC,1,1,,1,,,1
MSC R GRUPD,1,1,,1,,,
MSCPBlank,,,,,,,
MSCPGSC4D,,,,,,,
MSCPGSSTA,,,,,,,
MSCPGSUPD,,,,,,,
MSCPLICEM,,,,,,,
MSCPLSOTH,,,,,,,
MSCRGRBTR,,,,,,,
MSCRGRAFI,,,,,,,
MSCUGRAFI,,,,,,,
MSCRGRAGT,,,,,,,
MSCUGRAGT,,,,,,,
MSCRGRFIN,,,,,,,
MSCUGRFIN,,,,,,,
MSCRGRGAP,,,,,,,
MSCUGRGAP,,,,,,,
MSCRGRTHD,,,,,,,
MSCUGRTHD,,,,,,,
MSCUGRPOC,,,,,,,
