FAR_CODE_CD,ACTION_CD,FUNCTION_CD,ACTION_REASON_CD,FAR_CODE_ID,FAR_CODE_DESCRIPTION_TXT
MSCPGIHER,P,MSC,GIHER,1,"MANAGING STATE CASES, PROVISION/RESPONSE, NOTICE OF AN UPCOMING HEARING"
MSCPGSADD,P,MSC,GSADD,2,"MANAGING STATE CASES, PROVISION/RESPONSE, ADD DEPENDENT PARTICIPANT"
MSCPGSC02,P,MSC,GSC02,3,"MANAGING STATE CASES, PROVISION/RESPONSE, CASE CLOSURE REASON 45CFR 303.11(B)(1)"
MSCPGSC03,P,MSC,GSC03,4,"MANAGING STATE CASES, PROVISION/RESPONSE, CASE CLOSURE REASON 45CFR 303.11(B)(2)"
MSCPGSC05,P,MSC,GSC05,5,"MANAGING STATE CASES, PROVISION/RESPONSE, CASE CLOSURE REASON 45CFR 303.11(B)(4)(I)"
MSCPGSC5B,P,MSC,GSC5B,6,"MANAGING STATE CASES, PROVISION/RESPONSE, CASE CLOSURE REASON 45CFR 303.11(B)(4)(II)"
MSCPGSC06,P,MSC,GSC06,7,"MANAGING STATE CASES, PROVISION/RESPONSE, CASE CLOSURE REASON 45CFR 303.11(B)(5)"
MSCPGSC07,P,MSC,GSC07,8,"MANAGING STATE CASES, PROVISION/RESPONSE, CASE CLOSURE REASON 45CFR 303.11(B)(6)"
MSCPGSC08,P,MSC,GSC08,9,"MANAGING STATE CASES, PROVISION/RESPONSE, CASE CLOSURE REASON 45CFR 303.11(B)(7)"
MSCPGSC09,P,MSC,GSC09,10,"MANAGING STATE CASES, PROVISION/RESPONSE, CASE CLOSURE REASON 45CFR 303.11(B)(8)"
MSCPGSC10,P,MSC,GSC10,11,"MANAGING STATE CASES, PROVISION/RESPONSE, CASE CLOSURE REASON 45CFR 303.11(B)(9)"
MSCPGSC11,P,MSC,GSC11,12,"MANAGING STATE CASES, PROVISION/RESPONSE, CASE CLOSURE REASON 45CFR 303.11(B)(10)"
MSCPGSC12,P,MSC,GSC12,13,"MANAGING STATE CASES, PROVISION/RESPONSE, CASE CLOSURE REASON 45CFR 303.11(B)(11)"
MSCPGSC4A,P,MSC,GSC4A,14,"MANAGING STATE CASES, PROVISION/RESPONSE, CASE CLOSURE REASON 45CFR 303.11(B)(3)(I)"
