FAR_CODE_DATA_BLOCK_ID,DATA_BLOCK_FIELDS_ID,VALUE_TXT,FAR_CODE_ID
1,8,003,1
2,9,Fill as appropriate,1
3,12,P,1
4,13,COL,1
5,15,Your case ID,1
6,16,Other case ID,1
7,17,CITAX,1
8,19,=N,1
9,20,=1 (numeric),1
10,21,=1 (numeric),1
11,22,Fill as appropriate,1
12,23,=1 (numeric),1
13,24,Fill as appropriate,1
14,25,=1 (numeric),1
15,26,=0 (numeric),1
16,33,Any case type except non-IV-D,1
17,34,=O (alpha),1
18,41,Your state contact last name,1
19,42,Your state contact first name,1
20,45,Contact address,1
21,47,Contact city,1
22,48,Contact state,1
23,49,Contact ZIP Code,1
24,51,Contact phone number,1
25,194,NCP last name,1
26,195,NCP first name,1
27,199,NCP Social Security number,1
28,198,NCP date of birth,1
29,195,Participant first name,1
30,202,Fill as appropriate,1
31,203,=O (alpha),1
32,260,Date payment was received,1
33,261,Date payment was posted,1
34,262,Fill as appropriate,1
35,263,Fill as appropriate,1
36,8,003,2
37,9,Fill as appropriate,2
38,12,P,2
39,13,COL,2
40,15,Your case ID,2
41,16,Other case ID,2
42,17,CISUB,2
43,19,=N,2
44,20,=1 (numeric),2
45,22,=0 (numeric),2
46,23,=0 (numeric),2
47,24,=0 (numeric),2
48,25,=0 (numeric),2
49,26,=0 (numeric),2
50,33,Any case type except non-IV-D,2
51,34,=O (alpha),2
52,41,Your state contact last name,2
53,42,Your state contact first name,2
54,45,Contact address,2
55,47,Contact city,2
56,48,Contact state,2
57,49,Contact ZIP Code,2
58,51,Contact phone number,2
59,194,NCP last name,2
60,195,NCP first name,2
61,199,NCP Social Security number,2
62,8,003,3
63,9,Fill as appropriate,3
64,12,R,3
65,13,CSI,3
66,15,Your case ID,3
67,16,Other case ID,3
68,17,FRINF,3
69,19,=N,3
70,21,=0 (numeric),3
71,22,=0 (numeric),3
72,23,=0 (numeric),3
73,24,=0 (numeric),3
74,25,=0 (numeric),3
75,26,=0 (numeric),3
76,8,003,4
77,9,Fill as appropriate,4
78,12,R,4
79,13,CSI,4
80,15,Your case ID,4
81,16,Other case ID,4
82,17,FRNNF,4
83,19,=N,4
84,21,=0 (numeric),4
85,22,=0 (numeric),4
86,23,=0 (numeric),4
87,24,=0 (numeric),4
88,25,=0 (numeric),4
89,26,=0 (numeric),4
90,8,003,5
91,9,Fill as appropriate,5
92,12,P,5
93,13,CSI,5
94,15,Your case ID,5
95,16,Other case ID,5
96,17,FSINF,5
97,19,=N,5
98,20,=1 (numeric),5
99,22,Fill as appropriate,5
100,23,Fill as appropriate,5
101,24,Fill as appropriate,5
102,25,=0 (numeric),5
103,26,=0 (numeric),5
104,33,Any case type,5
105,34,Fill as appropriate,5
106,41,Your state contact last name,5
107,42,Your state contact first name,5
108,45,Contact address,5
109,47,Contact city,5
110,48,Contact state,5
111,49,Contact ZIP Code,5
112,51,NCP phone number,5
113,194,Participant last name,5
114,195,Participant first name,5
115,202,Fill as appropriate,5
116,8,003,6
117,9,Fill as appropriate,6
118,12,P,6
119,13,CSI,6
120,15,Your case ID,6
121,16,Other case ID,6
122,17,FUINF,6
123,19,=N,6
124,20,=0 (numeric),6
125,21,=0 (numeric),6
126,22,=0 (numeric),6
127,23,=0 (numeric),6
128,25,=0 (numeric),6
129,26,=0 (numeric),6
130,8,003,7
131,9,Fill as appropriate,7
132,12,A,7
133,13,ENF,7
134,15,Your case ID,7
135,16,Other case ID,7
136,17,AADIN,7
137,19,=N,7
138,20,=1,7
139,21,=1,7
140,23,=1,7
141,24,=0 (numeric),7
142,25,=0 (numeric),7
143,26,=1,7
144,33,Fill as appropriate,7
145,34,=O (alpha),7
146,41,Your state contact last name,7
147,42,Your state contact first name,7
148,45,Contact address,7
149,47,Contact city,7
150,48,Contact state,7
151,49,Contact ZIP Code,7
152,51,Contact phone number,7
153,194,NCP last name,7
154,195,NCP first name,7
155,199,NCP Social Security number,7
156,198,NCP date of birth,7
157,194,Participant last name,7
158,195,Participant first name,7
159,202,Fill as appropriate,7
160,203,=O (alpha),7
161,267,=O (alpha),7
162,269,Fill as appropriate,7
163,8,003,8
164,9,Fill as appropriate,8
165,12,A,8
166,13,ENF,8
167,15,Your case ID,8
168,16,Other case ID,8
169,17,ANOAD,8
170,19,=N,8
171,20,=1,8
172,21,=1,8
173,23,=1,8
174,24,=0 (numeric),8
175,25,=0 (numeric),8
176,26,=0 (numeric),8
177,33,Fill as appropriate,8
178,34,=O (alpha),8
179,41,Your state contact last name,8
180,42,Your state contact first name,8
181,45,Contact address,8
182,47,Contact city,8
183,48,Contact state,8
184,49,Contact ZIP Code,8
185,51,Contact phone number,8
186,194,NCP last name,8
187,195,NCP first name,8
188,199,NCP Social Security number,8
189,198,NCP date of birth,8
190,194,Participant last name,8
191,195,Participant first name,8
192,202,Fill as appropriate,8
193,203,=O (alpha),8
194,8,003,9
195,9,Fill as appropriate,9
196,12,P,9
197,13,ENF,9
198,15,Your case ID,9
199,16,Other case ID,9
200,17,EILMV,9
201,19,=N,9
202,20,=1,9
203,21,=1,9
204,23,=1,9
205,24,=0 (numeric),9
206,25,=0 (numeric),9
207,26,Fill as appropriate,9
208,33,Fill as appropriate,9
209,34,=O (alpha),9
210,41,Your state contact last name,9
211,42,Your state contact first name,9
212,45,Contact address,9
213,47,Contact city,9
214,48,Contact state,9
215,49,Contact ZIP Code,9
216,51,Contact phone number,9
217,194,NCP last name,9
218,195,NCP first name,9
219,199,NCP Social Security number,9
220,198,NCP date of birth,9
221,194,Participant last name,9
222,195,Participant first name,9
223,202,Fill as appropriate,9
224,203,=O (alpha),9
225,267,=O (alpha),9
226,269,Fill as appropriate,9
227,8,003,10
228,9,Fill as appropriate,10
229,12,P,10
230,13,ENF,10
231,15,Your case ID,10
232,16,Other case ID,10
233,17,EILRE,10
234,19,=N,10
235,20,=1,10
236,21,=1,10
237,23,=1,10
238,24,=0 (numeric),10
239,25,=0 (numeric),10
240,26,Fill as appropriate,10
241,33,Fill as appropriate,10
242,34,=O (alpha),10
243,41,Your state contact last name,10
244,42,Your state contact first name,10
245,45,Contact address,10
246,47,Contact city,10
247,48,Contact state,10
248,49,Contact ZIP Code,10
249,51,Contact phone number,10
250,194,NCP last name,10
251,195,NCP first name,10
252,199,NCP Social Security number,10
253,198,NCP date of birth,10
254,194,Participant last name,10
255,195,Participant first name,10
256,202,Fill as appropriate,10
257,203,=O (alpha),10
258,267,=O (alpha),10
259,269,Fill as appropriate,10
260,8,003,11
261,9,Fill as appropriate,11
262,12,P,11
263,13,ENF,11
